event_id,trade_id,signal_id,event_time,event_type,market,symbol,message
49e624b9c1e3dd6580bf,7fd38bb0ce5dbc65427c,bc927713c4d148fcd6cb,2026-05-09T16:15:51.378732+00:00,PAPER_OPEN,forex,EURUSD,paper trade opened
7de338d593ce3a047b2d,9093d82d1b11d2641220,21ee3f1d5107e9afcdd0,2026-05-09T16:15:51.393136+00:00,PAPER_OPEN,forex,USDJPY,paper trade opened
d6326c6ce3c7fbf0befb,8c1c78d686f39aef9352,64dc4747de9e34090ec1,2026-05-09T16:15:51.408207+00:00,PAPER_OPEN,forex,USDCHF,paper trade opened
5543f71dd59bea98dfb9,904eae6aacdf561bde1b,7122590b014b89f8ac20,2026-05-09T16:15:51.423722+00:00,PAPER_OPEN,forex,AUDUSD,paper trade opened
676d1e69c467872261d8,7fd38bb0ce5dbc65427c,bc927713c4d148fcd6cb,2026-05-11T01:50:56.295667+00:00,PAPER_CLOSED,forex,EURUSD,TIME_EXIT
13906a7e3dc11e398c55,9093d82d1b11d2641220,21ee3f1d5107e9afcdd0,2026-05-11T01:50:58.414006+00:00,PAPER_CLOSED,forex,USDJPY,TIME_EXIT
bd2bd218641759566c36,8c1c78d686f39aef9352,64dc4747de9e34090ec1,2026-05-11T01:51:00.543366+00:00,PAPER_CLOSED,forex,USDCHF,TIME_EXIT
d8d9a2682f0c3b3a71b8,904eae6aacdf561bde1b,7122590b014b89f8ac20,2026-05-11T01:51:02.641708+00:00,PAPER_CLOSED,forex,AUDUSD,TIME_EXIT
81ebb85c8a5d840eeb8b,c4b72dd306a7b12203ad,afb03d40052331d48571,2026-05-11T02:40:34.992246+00:00,PAPER_OPEN,forex,AUDCAD,paper trade opened
1ce7dec7aa93c32363b7,f0aea9d616fd33a300d9,49ced61a8d9da36fb833,2026-05-11T02:40:35.015259+00:00,PAPER_OPEN,forex,AUDUSD,paper trade opened
4b1a1946d180ebb57dfe,76ea0498a1e7d02a09f6,8f2b4e9be7eb1b8342f8,2026-05-11T07:32:12.979933+00:00,PAPER_OPEN,forex,EURUSD,paper trade opened
7f588a459fffda60cccc,f7750fa773da76cbf22a,dc6f8b7ca6b3720be034,2026-05-11T07:32:12.999276+00:00,PAPER_OPEN,forex,USDCHF,paper trade opened
0cef5b8321718d997e9f,23d8e7a7f5fbef4761e0,09db309a18069762a359,2026-05-11T08:07:44.387516+00:00,PAPER_OPEN,forex,AUDCHF,paper trade opened
dfd13e0f5bfd94780ebf,76ea0498a1e7d02a09f6,8f2b4e9be7eb1b8342f8,2026-05-11T08:24:36.368725+00:00,PAPER_CLOSED,forex,EURUSD,TP1
04d9b8b29b5e74ba9522,d23ab324b984988cbbf4,f1e1ca70f17104f89f96,2026-05-11T08:34:45.330529+00:00,PAPER_OPEN,forex,EURUSD,paper trade opened
47aa019550f06fdfb59b,49be2060c47aee42a95d,da79552143e54f55c9f2,2026-05-11T08:34:45.358645+00:00,PAPER_OPEN,forex,GBPUSD,paper trade opened
43e53af35ded943c3992,f7750fa773da76cbf22a,dc6f8b7ca6b3720be034,2026-05-11T09:34:26.294939+00:00,PAPER_CLOSED,forex,USDCHF,SL
4491172d20a613bfb5c4,49be2060c47aee42a95d,da79552143e54f55c9f2,2026-05-11T09:34:27.383650+00:00,PAPER_CLOSED,forex,GBPUSD,SL
64cab4e070bf9e6d8991,2f849f206b9129122920,fcdcc90765c95c26a213,2026-05-11T09:51:05.822381+00:00,PAPER_OPEN,forex,USDCHF,paper trade opened
05d575cca77022d2d80f,1208da2e800288ad372a,8048f067edbbf381f0b4,2026-05-11T09:51:05.846083+00:00,PAPER_OPEN,forex,GBPUSD,paper trade opened
b0239aa28bd6b7f15f5d,d23ab324b984988cbbf4,f1e1ca70f17104f89f96,2026-05-11T12:35:08.226587+00:00,PAPER_CLOSED,forex,EURUSD,SL
5c1addaee31a8de71b0a,2f849f206b9129122920,fcdcc90765c95c26a213,2026-05-11T12:35:08.466479+00:00,PAPER_CLOSED,forex,USDCHF,SL
7ef27541a9696f581728,1208da2e800288ad372a,8048f067edbbf381f0b4,2026-05-11T12:35:08.714138+00:00,PAPER_CLOSED,forex,GBPUSD,SL
